næring (SN2007),statistikkvariabel,kvartal,value
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2018K3,2.5
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2018K4,2.2
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2019K1,2.5
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2019K2,2.6
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2019K3,2.4
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2019K4,2.4
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2020K1,2.3
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2020K2,1.9
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2020K3,2.2
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2020K4,2.2
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2021K1,2.5
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2021K2,3.2
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2021K3,3.3
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2021K4,3.1
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2022K1,3.3
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2022K2,3.5
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2022K3,3.3
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2022K4,3.7
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2023K1,4.1
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2023K2,3.7
Alle næringar,"Prosentdelen ledige stillingar, sesongjustert",2023K3,3.7
